NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Alex Abrines,SG,OKC,70,18,-0.951,-1.558,-0.958,-0.762,-0.822,0.498,-1.285,1.598,1.358,-0.32
Sam Dekker,SF/PF,LAC,77,24,-0.556,-0.143,-0.588,-0.762,-0.389,-0.113,0.113,-1.596,1.096,-0.326
Stanley Johnson,SG/SF,DET,78,25,-0.631,-0.443,-0.27,0.06,-0.389,0.009,-1.11,-0.164,-0.085,-0.336
Josh Jackson,SG/SF,PHO,72,25,-0.424,0.029,-0.112,0.335,0.044,-0.723,-0.236,-1.596,-0.347,-0.337
Bobby Portis,PF/C,CHI,64,20,-0.612,0.5,-0.853,-1.311,-0.605,-0.601,0.113,-0.495,0.833,-0.337
Zaza Pachulia,C,GSW,70,17,-1.214,0.2,-0.535,-0.488,-0.605,-1.334,0.288,0.056,0.571,-0.34
Donovan Mitchell,SG,UTA,72,23,-0.744,-0.872,-0.376,0.335,-0.605,-0.113,-1.459,0.166,0.571,-0.344
Brandon Ingram,SG/SF,LAL,78,30,-0.254,-0.272,-0.059,-0.488,0.044,-0.235,-0.76,-1.155,0.046,-0.348
Kelly Oubre,SF,WAS,77,25,-0.706,-0.186,-0.958,-0.214,-0.605,-0.235,-0.586,-0.495,0.833,-0.35
Richaun Holmes,PF/C,PHI,70,12,-1.196,-0.958,-1.011,-1.311,0.044,-0.479,1.336,-0.825,1.227,-0.352
Marco Belinelli,SG/SF,ATL,68,23,-0.593,-1.258,-0.376,-1.037,-1.038,0.253,-1.11,1.267,0.702,-0.354
Austin Rivers,PG/SG,LAC,71,26,-0.254,-1.215,0.047,-0.214,-1.038,0.253,-0.586,-0.495,0.309,-0.355
Ed Davis,PF/C,POR,68,18,-1.252,0.543,-0.853,-1.037,0.044,-1.334,1.686,-2.146,1.096,-0.361
JaVale McGee,C,GSW,72,12,-0.932,-0.4,-1.223,-1.585,0.91,-1.334,2.909,-2.697,1.096,-0.362
Timofey Mozgov,C,BKN,70,20,-0.838,0.072,-1.011,-1.585,0.261,-1.334,0.987,-0.164,0.309,-0.367
Trevor Booker,PF,BKN,72,18,-1.026,0.2,-0.694,-0.488,-0.389,-0.845,0.288,-0.935,0.571,-0.369
Paul Zipser,SF/PF,CHI,70,24,-0.894,-0.572,-0.747,-1.037,0.044,-0.113,-1.11,0.386,0.571,-0.386
Kenneth Faried,PF/C,DEN,66,14.7,-1.007,0.029,-0.958,-1.311,-0.389,-1.334,1.336,-0.935,1.096,-0.386
Salah Mejri,C,DAL,70,12,-1.742,-0.443,-1.223,-1.311,0.477,-1.334,3.083,-2.257,1.227,-0.391
Lance Stephenson,SG/SF,IND,70,24.5,-0.537,-0.443,0.365,-0.488,-0.822,-0.601,-0.411,-0.385,-0.216,-0.393
Marreese Speights,PF/C,ORL,70,12,-0.989,-0.743,-0.958,-1.859,-0.389,-0.357,-0.411,1.047,1.096,-0.396
Lauri Markkanen,PF,CHI,70,20,-0.838,-0.4,-1.011,-1.311,-0.605,-0.357,-0.411,0.386,0.965,-0.398
Ben McLemore,SG,MEM,70,25,-0.461,-1.172,-0.641,-0.488,-1.038,0.253,-0.411,0.166,0.177,-0.402
Jerami Grant,SF/PF,OKC,78,20,-0.989,-0.872,-0.694,-1.037,1.343,-0.601,-0.586,-1.045,0.833,-0.405
Joe Johnson,SG/SF,UTA,77,23,-0.781,-1,-0.165,-1.311,-1.038,0.009,-0.586,0.607,0.571,-0.41
Meyers Leonard,PF/C,POR,70,18,-1.102,-0.529,-0.747,-1.859,-0.605,0.009,-0.76,0.717,1.096,-0.42
Jahlil Okafor,C,PHI,60,18,-0.235,-0.486,-0.8,-1.585,0.261,-1.334,0.812,-0.495,0.046,-0.424
Miles Plumlee,PF/C,ATL,62,17.5,-1.346,-0.272,-1.011,-0.762,0.477,-1.334,1.511,-1.926,0.833,-0.426
Jerian Grant,PG/SG,CHI,70,18,-0.97,-1.301,-0.112,-0.488,-0.822,-0.601,-1.11,0.827,0.702,-0.43
Michael Beasley,SF/PF,NYK,67,15,-0.668,-0.743,-0.906,-1.311,-0.389,-0.845,0.463,-0.054,0.571,-0.431
Jason Smith,PF/C,WAS,75,14.6,-1.139,-0.872,-0.906,-1.585,0.044,-0.967,0.288,0.276,0.965,-0.433
Ish Smith,PG,DET,74,21,-0.8,-1,1.106,-0.488,-0.605,-0.845,-0.935,-0.715,0.177,-0.456
De'Aaron Fox,PG,SAC,72,24,-0.556,-1,0.365,0.06,-1.038,-1.089,-0.586,-0.385,0.046,-0.465
Kosta Koufos,PF/C,SAC,70,18,-1.233,0.072,-1.011,-1.311,0.261,-1.334,0.987,-1.816,1.096,-0.477
Jonathon Simmons,SG/SF,ORL,72,20,-0.894,-1.086,-0.429,-0.762,-0.605,-0.723,-0.411,-0.054,0.571,-0.488
T.J. Leaf,PF,IND,72,15,-1.214,-0.786,-0.8,-1.311,-0.389,-1.089,0.812,-0.715,1.096,-0.488
J.R. Smith,SG/SF,CLE,70,25,-0.876,-1,-0.535,0.06,-0.822,0.864,-1.809,-1.486,1.096,-0.501
Dejounte Murray,PG,SAS,70,22,-0.424,-0.958,0.524,-0.762,-0.389,-0.479,-0.411,-0.385,-1.397,-0.52
Jared Dudley,SF/PF,PHO,70,18,-1.309,-1,-0.588,-0.762,-0.822,-0.357,-0.236,-0.605,0.965,-0.524
Noah Vonleh,PF,POR,75,18,-1.327,0.072,-1.064,-1.037,-0.389,-1.211,-0.062,-0.605,0.833,-0.532
Vince Carter,SG/SF,SAC,70,16.2,-1.29,-1.172,-0.8,-1.037,-0.605,-0.113,-1.459,0.166,1.49,-0.536
Andrew Harrison,PG/SG,MEM,72,21,-1.007,-1.301,0.312,-0.488,-0.605,-0.601,-1.983,0.386,0.44,-0.539
Domantas Sabonis,PF,IND,80,18,-1.177,-0.743,-0.8,-1.037,-0.389,-0.479,-0.76,-1.045,0.833,-0.622
